,File,Duration
0,812205003494139.wav,311.4
1,812205003480913.wav,39.78
2,812205003494679.wav,81.54
3,812205003481766.wav,92.1
4,812205003471911.wav,546.36
5,812205003466537.wav,43.86
6,812205003493506.wav,33.36
7,812205003466960.wav,696.9
8,812205003469029.wav,46.8
9,812205003482414.wav,181.08
10,812205003481563.wav,111.96
11,812205003487735.wav,43.92
12,812205003497199.wav,30.9
13,812205003495151.wav,80.4
14,812205003480080.wav,241.32
15,812205003481212.wav,931.44
16,812205003491446.wav,306.66
17,812205003476861.wav,38.16
18,812205003483880.wav,34.5
19,812205003484141.wav,230.58
20,812205003491863.wav,58.26
21,812205003464315.wav,80.46
22,812205003488072.wav,59.58
23,812205003469086.wav,580.8
24,812205003482346.wav,71.28
25,812205003496905.wav,93.84
26,812205003496445.wav,77.82
27,812205003487659.wav,30.06
28,812205003490788.wav,70.5
29,812205003474069.wav,36.54
30,812205003493411.wav,672.36
31,812205003486080.wav,85.44
32,812205003492534.wav,894.78
33,812205003470475.wav,36.0
34,812205003478374.wav,417.36
35,812205003481304.wav,331.44
36,812205003493833.wav,55.02
37,812205003464565.wav,214.56
38,812205003491437.wav,38.88
39,812205003496040.wav,65.16
40,812205003497724.wav,90.0
41,812205003478631.wav,31.56
42,812205003479618.wav,31.14
43,812205003483507.wav,508.32
44,812205003495798.wav,33.12
45,812205003475135.wav,126.78
46,812205003476319.wav,66.54
47,812205003487935.wav,65.4
48,812205003470601.wav,38.7
49,812205003465362.wav,165.78
50,812205003463634.wav,39.24
51,812205003470046.wav,334.14
52,812205003470565.wav,32.7
53,812205003466109.wav,187.92
54,812205003487564.wav,61.8
55,812205003490185.wav,107.34
56,812205003494662.wav,35.28
57,812205003481455.wav,309.12
58,812205003485511.wav,845.4
59,812205003471169.wav,332.7
60,812205003466246.wav,30.48
61,812205003462554.wav,507.06
62,812205003496881.wav,103.2
63,812205003464326.wav,48.72
64,812205003464606.wav,149.22
65,812205003496309.wav,52.56
66,812205003493440.wav,132.78
67,812205003493720.wav,301.86
68,812205003490869.wav,76.2
69,812205003474669.wav,317.1
70,812205003487739.wav,295.62
71,812205003465254.wav,117.18
72,812205003463545.wav,56.58
73,812205003471263.wav,34.56
74,812205003490751.wav,460.38
75,812205003467771.wav,47.82
76,812205003484516.wav,31.68
77,812205003480869.wav,43.14
78,812205003492689.wav,76.86
79,812205003489705.wav,611.1
80,812205003470945.wav,55.26
81,812205003472462.wav,71.1
82,812205003495998.wav,306.0
83,812205003466310.wav,49.5
84,812205003479423.wav,747.78
85,812205003485415.wav,99.06
86,812205003465992.wav,75.54
87,812205003463417.wav,45.66
88,812205003476173.wav,1085.16
89,812205003474556.wav,305.76
90,812205003494511.wav,680.88
91,812205003463750.wav,297.9
92,812205003480759.wav,31.44
93,812205003473363.wav,457.08
94,812205003467031.wav,39.66
95,812205003492722.wav,1115.04
96,812205003485267.wav,171.24
97,812205003470528.wav,63.54
98,812205003488195.wav,450.36
99,812205003494053.wav,755.52
100,812205003493757.wav,144.6
101,812205003493171.wav,55.92
102,812205003487647.wav,46.8
103,812205003492415.wav,145.56
104,812205003471123.wav,38.58
105,812205003496888.wav,112.98
106,812205003469335.wav,46.98
107,812205003497404.wav,54.24
108,812205003493511.wav,522.24
109,812205003484910.wav,38.28
110,812205003467696.wav,75.36
111,812205003496522.wav,662.88
112,812205003491356.wav,367.68
113,812205003477539.wav,43.08
114,812205003492462.wav,64.2
115,812205003476837.wav,91.68
116,812205003486734.wav,628.74
117,812205003487770.wav,41.34
118,812205003471642.wav,47.7
119,812205003466299.wav,167.58
120,812205003482657.wav,62.16
121,812205003473264.wav,62.58
122,812205003482315.wav,200.34
123,812205003485084.wav,146.64
124,812205003481910.wav,38.28
125,812205003481290.wav,232.56
126,812205003483321.wav,52.8
127,812205003497876.wav,47.22
128,812205003495116.wav,92.94
129,812205003468000.wav,1003.38
130,812205003470708.wav,59.4
131,812205003495727.wav,38.76
132,812205003497743.wav,126.78
133,812205003478981.wav,157.8
134,812205003479602.wav,34.26
135,812205003467602.wav,90.0
136,812205003474086.wav,31.5
137,812205003497993.wav,30.6
138,812205003483072.wav,47.94
139,812205003471289.wav,50.4
140,812205003497137.wav,103.74
141,812205003489046.wav,56.7
142,812205003489454.wav,39.72
143,812205003471100.wav,93.84
